CQI,MCS,BRATE(DW),BLER(DW),SNR,PHR,BLER(UP),BRATE(UP),CLASS
15.0,25.9,1610000.0,0,19.1,24.2,14.4,322,1920
15.0,26.0,718000.0,0,19.0,24.0,14.3,159,1920
15.0,25.7,811999.0,0,19.1,24.0,14.7,196,1920
15.0,26.3,2110000.0,0,18.8,23.8,14.2,380,1920
15.0,26.0,538000.0,1.0,18.7,24.3,14.0,112,1920
15.0,25.9,1160000.0,0,20.2,23.6,14.3,223,1920
15.0,26.5,2190000.0,0,20.4,24.5,14.7,397,1920
15.0,25.7,919999.0,0,19.1,25.1,13.3,229,1920
15.0,25.8,1540000.0,0,18.6,24.2,14.3,323,1920
15.0,26.1,1320000.0,0,19.4,24.0,14.7,291,1920
15.0,26.1,614000.0,0,19.0,24.0,14.1,118,1920
15.0,26.1,1150000.0,0,18.8,24.2,13.7,246,1920
15.0,26.1,1700000.0,0,18.7,23.9,14.5,326,1920
15.0,26.5,1270000.0,0,19.1,24.0,14.7,234,1920
15.0,25.7,658000.0,0,19.4,23.9,14.1,218,1920
15.0,25.7,1380000.0,0,19.7,25.0,14.3,290,1920
15.0,25.9,1220000.0,0,20.0,24.0,14.6,250,1920
15.0,26.1,617000.0,0,19.9,24.0,14.7,127,1920
15.0,26.5,2350000.0,0,19.4,24.5,14.5,396,1920
15.0,26.1,1019999.0,0,19.2,24.3,13.7,195,1920
15.0,26.6,1810000.0,0,19.1,24.5,14.2,321,1920
15.0,26.1,1260000.0,0,19.2,24.8,14.3,249,1920
15.0,26.5,2300000.0,0,19.4,24.2,14.3,425,1920
15.0,26.7,826000.0,0,19.4,24.0,14.4,168,1920
15.0,26.8,1910000.0,0,19.3,24.0,14.4,358,1920
15.0,26.4,1730000.0,0,19.2,24.2,14.3,305,1920
15.0,26.7,1570000.0,0,19.2,24.8,14.1,271,1920
15.0,26.3,1200000.0,0,19.4,24.0,14.5,214,1920
15.0,26.8,2250000.0,0,19.3,23.9,14.3,402,1920
15.0,26.5,1700000.0,0,19.4,24.4,14.5,295,1920
15.0,26.7,1170000.0,0,19.5,24.4,14.4,207,1920
15.0,25.9,770000.0,0,19.5,24.8,14.5,147,1920
15.0,26.8,2570000.0,0,19.3,24.2,14.5,430,1920
15.0,26.2,1350000.0,0,19.5,24.6,14.3,266,1920
15.0,26.8,2670000.0,0,19.3,24.5,14.2,452,1920
15.0,26.1,212000.0,0,19.4,24.0,14.3,45.7,1920
15.0,26.5,1780000.0,0,19.4,24.0,14.7,323,1920
15.0,26.8,1440000.0,0,19.4,24.0,14.4,255,1920
15.0,26.6,2000000.0,0,19.3,24.4,14.0,332,1920
15.0,26.8,1440000.0,0,19.3,25.8,14.0,230,1920
15.0,26.2,1130000.0,0,19.5,24.0,14.7,222,1920
15.0,26.8,1850000.0,0,19.4,24.0,14.5,335,1920
15.0,26.7,1750000.0,0,19.9,24.6,14.1,311,1920
15.0,26.8,1670000.0,0,19.6,24.0,14.3,312,1920
15.0,26.5,1330000.0,0,20.2,25.1,14.0,218,1920
15.0,26.8,2700000.0,0,19.3,25.9,14.1,453,1920
15.0,26.7,1340000.0,4.0,18.7,23.8,13.4,190,1920
15.0,26.8,1950000.0,2.9,17.7,25.4,12.7,317,1920
15.0,26.7,1789999.0,0,19.3,23.8,14.4,314,1920
15.0,26.8,1180000.0,0,19.1,25.8,14.4,197,1920
15.0,26.5,1250000.0,0,19.5,25.8,14.3,236,1920
15.0,26.8,2290000.0,0,19.5,25.0,14.5,390,1920
15.0,26.6,1850000.0,1.7,18.3,24.8,14.0,289,1920
15.0,26.8,1639999.0,4.5,18.0,26.7,13.1,221,1920
